time,State,Value,Variable,Date,Month,Year,State_Code
1899-03-01,Alabama,55.6,Average Temperature,1899-03-01,3,1899,AL
1899-04-01,Alabama,61.7,Average Temperature,1899-04-01,4,1899,AL
1899-05-01,Alabama,76.1,Average Temperature,1899-05-01,5,1899,AL
1899-06-01,Alabama,79.9,Average Temperature,1899-06-01,6,1899,AL
1899-07-01,Alabama,80.4,Average Temperature,1899-07-01,7,1899,AL
1899-08-01,Alabama,80.9,Average Temperature,1899-08-01,8,1899,AL
1899-09-01,Alabama,72.8,Average Temperature,1899-09-01,9,1899,AL
1899-10-01,Alabama,66.0,Average Temperature,1899-10-01,10,1899,AL
1899-11-01,Alabama,55.3,Average Temperature,1899-11-01,11,1899,AL
1899-12-01,Alabama,44.7,Average Temperature,1899-12-01,12,1899,AL
1900-01-01,Alabama,43.6,Average Temperature,1900-01-01,1,1900,AL
1900-02-01,Alabama,44.4,Average Temperature,1900-02-01,2,1900,AL
1900-03-01,Alabama,52.9,Average Temperature,1900-03-01,3,1900,AL
1900-04-01,Alabama,64.2,Average Temperature,1900-04-01,4,1900,AL
1900-05-01,Alabama,71.4,Average Temperature,1900-05-01,5,1900,AL
1900-06-01,Alabama,76.3,Average Temperature,1900-06-01,6,1900,AL
1900-07-01,Alabama,79.8,Average Temperature,1900-07-01,7,1900,AL
1900-08-01,Alabama,81.2,Average Temperature,1900-08-01,8,1900,AL
1900-09-01,Alabama,77.6,Average Temperature,1900-09-01,9,1900,AL
1900-10-01,Alabama,68.2,Average Temperature,1900-10-01,10,1900,AL
1900-11-01,Alabama,54.7,Average Temperature,1900-11-01,11,1900,AL
1900-12-01,Alabama,46.6,Average Temperature,1900-12-01,12,1900,AL
1901-01-01,Alabama,46.0,Average Temperature,1901-01-01,1,1901,AL
1901-02-01,Alabama,43.1,Average Temperature,1901-02-01,2,1901,AL
1901-03-01,Alabama,53.3,Average Temperature,1901-03-01,3,1901,AL
1901-04-01,Alabama,58.1,Average Temperature,1901-04-01,4,1901,AL
1901-05-01,Alabama,70.6,Average Temperature,1901-05-01,5,1901,AL
1901-06-01,Alabama,78.8,Average Temperature,1901-06-01,6,1901,AL
1901-07-01,Alabama,82.4,Average Temperature,1901-07-01,7,1901,AL
1901-08-01,Alabama,78.7,Average Temperature,1901-08-01,8,1901,AL
1901-09-01,Alabama,72.4,Average Temperature,1901-09-01,9,1901,AL
1901-10-01,Alabama,62.5,Average Temperature,1901-10-01,10,1901,AL
1901-11-01,Alabama,48.7,Average Temperature,1901-11-01,11,1901,AL
1901-12-01,Alabama,42.1,Average Temperature,1901-12-01,12,1901,AL
1902-01-01,Alabama,43.2,Average Temperature,1902-01-01,1,1902,AL
1902-02-01,Alabama,40.8,Average Temperature,1902-02-01,2,1902,AL
1902-03-01,Alabama,55.1,Average Temperature,1902-03-01,3,1902,AL
1902-04-01,Alabama,62.1,Average Temperature,1902-04-01,4,1902,AL
1902-05-01,Alabama,75.7,Average Temperature,1902-05-01,5,1902,AL
1902-06-01,Alabama,81.2,Average Temperature,1902-06-01,6,1902,AL
1902-07-01,Alabama,83.1,Average Temperature,1902-07-01,7,1902,AL
1902-08-01,Alabama,82.3,Average Temperature,1902-08-01,8,1902,AL
1902-09-01,Alabama,73.6,Average Temperature,1902-09-01,9,1902,AL
1902-10-01,Alabama,63.1,Average Temperature,1902-10-01,10,1902,AL
1902-11-01,Alabama,57.6,Average Temperature,1902-11-01,11,1902,AL
1902-12-01,Alabama,45.2,Average Temperature,1902-12-01,12,1902,AL
1903-01-01,Alabama,43.4,Average Temperature,1903-01-01,1,1903,AL
1903-02-01,Alabama,48.2,Average Temperature,1903-02-01,2,1903,AL
1903-03-01,Alabama,59.5,Average Temperature,1903-03-01,3,1903,AL
1903-04-01,Alabama,61.1,Average Temperature,1903-04-01,4,1903,AL
1903-05-01,Alabama,69.8,Average Temperature,1903-05-01,5,1903,AL
1903-06-01,Alabama,73.6,Average Temperature,1903-06-01,6,1903,AL
1903-07-01,Alabama,80.4,Average Temperature,1903-07-01,7,1903,AL
1903-08-01,Alabama,80.6,Average Temperature,1903-08-01,8,1903,AL
1903-09-01,Alabama,73.2,Average Temperature,1903-09-01,9,1903,AL
1903-10-01,Alabama,63.2,Average Temperature,1903-10-01,10,1903,AL
1903-11-01,Alabama,50.6,Average Temperature,1903-11-01,11,1903,AL
1903-12-01,Alabama,40.1,Average Temperature,1903-12-01,12,1903,AL
1904-01-01,Alabama,41.1,Average Temperature,1904-01-01,1,1904,AL
1904-02-01,Alabama,48.9,Average Temperature,1904-02-01,2,1904,AL
1904-03-01,Alabama,58.1,Average Temperature,1904-03-01,3,1904,AL
1904-04-01,Alabama,60.0,Average Temperature,1904-04-01,4,1904,AL
1904-05-01,Alabama,70.2,Average Temperature,1904-05-01,5,1904,AL
1904-06-01,Alabama,78.1,Average Temperature,1904-06-01,6,1904,AL
1904-07-01,Alabama,78.6,Average Temperature,1904-07-01,7,1904,AL
1904-08-01,Alabama,78.6,Average Temperature,1904-08-01,8,1904,AL
1904-09-01,Alabama,77.0,Average Temperature,1904-09-01,9,1904,AL
1904-10-01,Alabama,64.6,Average Temperature,1904-10-01,10,1904,AL
1904-11-01,Alabama,52.1,Average Temperature,1904-11-01,11,1904,AL
1904-12-01,Alabama,45.9,Average Temperature,1904-12-01,12,1904,AL
1905-01-01,Alabama,38.6,Average Temperature,1905-01-01,1,1905,AL
1905-02-01,Alabama,39.1,Average Temperature,1905-02-01,2,1905,AL
1905-03-01,Alabama,59.1,Average Temperature,1905-03-01,3,1905,AL
1905-04-01,Alabama,63.7,Average Temperature,1905-04-01,4,1905,AL
1905-05-01,Alabama,74.5,Average Temperature,1905-05-01,5,1905,AL
1905-06-01,Alabama,79.4,Average Temperature,1905-06-01,6,1905,AL
1905-07-01,Alabama,79.8,Average Temperature,1905-07-01,7,1905,AL
1905-08-01,Alabama,79.4,Average Temperature,1905-08-01,8,1905,AL
1905-09-01,Alabama,76.2,Average Temperature,1905-09-01,9,1905,AL
1905-10-01,Alabama,63.7,Average Temperature,1905-10-01,10,1905,AL
1905-11-01,Alabama,55.4,Average Temperature,1905-11-01,11,1905,AL
1905-12-01,Alabama,42.7,Average Temperature,1905-12-01,12,1905,AL
1906-01-01,Alabama,46.2,Average Temperature,1906-01-01,1,1906,AL
1906-02-01,Alabama,45.1,Average Temperature,1906-02-01,2,1906,AL
1906-03-01,Alabama,50.9,Average Temperature,1906-03-01,3,1906,AL
1906-04-01,Alabama,64.9,Average Temperature,1906-04-01,4,1906,AL
1906-05-01,Alabama,69.9,Average Temperature,1906-05-01,5,1906,AL
1906-06-01,Alabama,79.1,Average Temperature,1906-06-01,6,1906,AL
1906-07-01,Alabama,79.2,Average Temperature,1906-07-01,7,1906,AL
1906-08-01,Alabama,80.5,Average Temperature,1906-08-01,8,1906,AL
1906-09-01,Alabama,78.3,Average Temperature,1906-09-01,9,1906,AL
1906-10-01,Alabama,60.6,Average Temperature,1906-10-01,10,1906,AL
1906-11-01,Alabama,55.0,Average Temperature,1906-11-01,11,1906,AL
1906-12-01,Alabama,49.6,Average Temperature,1906-12-01,12,1906,AL
1907-01-01,Alabama,53.6,Average Temperature,1907-01-01,1,1907,AL
1907-02-01,Alabama,48.3,Average Temperature,1907-02-01,2,1907,AL
1907-03-01,Alabama,64.3,Average Temperature,1907-03-01,3,1907,AL
1907-04-01,Alabama,58.1,Average Temperature,1907-04-01,4,1907,AL
1907-05-01,Alabama,68.3,Average Temperature,1907-05-01,5,1907,AL
1907-06-01,Alabama,75.6,Average Temperature,1907-06-01,6,1907,AL
1907-07-01,Alabama,81.2,Average Temperature,1907-07-01,7,1907,AL
1907-08-01,Alabama,80.5,Average Temperature,1907-08-01,8,1907,AL
1907-09-01,Alabama,75.2,Average Temperature,1907-09-01,9,1907,AL
1907-10-01,Alabama,63.3,Average Temperature,1907-10-01,10,1907,AL
1907-11-01,Alabama,51.0,Average Temperature,1907-11-01,11,1907,AL
1907-12-01,Alabama,45.3,Average Temperature,1907-12-01,12,1907,AL
1908-01-01,Alabama,43.4,Average Temperature,1908-01-01,1,1908,AL
1908-02-01,Alabama,44.0,Average Temperature,1908-02-01,2,1908,AL
1908-03-01,Alabama,62.2,Average Temperature,1908-03-01,3,1908,AL
1908-04-01,Alabama,67.4,Average Temperature,1908-04-01,4,1908,AL
1908-05-01,Alabama,71.8,Average Temperature,1908-05-01,5,1908,AL
1908-06-01,Alabama,78.0,Average Temperature,1908-06-01,6,1908,AL
1908-07-01,Alabama,80.3,Average Temperature,1908-07-01,7,1908,AL
1908-08-01,Alabama,79.7,Average Temperature,1908-08-01,8,1908,AL
1908-09-01,Alabama,74.5,Average Temperature,1908-09-01,9,1908,AL
1908-10-01,Alabama,60.3,Average Temperature,1908-10-01,10,1908,AL
1908-11-01,Alabama,56.8,Average Temperature,1908-11-01,11,1908,AL
1908-12-01,Alabama,50.1,Average Temperature,1908-12-01,12,1908,AL
1909-01-01,Alabama,49.6,Average Temperature,1909-01-01,1,1909,AL
1909-02-01,Alabama,50.2,Average Temperature,1909-02-01,2,1909,AL
1909-03-01,Alabama,55.9,Average Temperature,1909-03-01,3,1909,AL
1909-04-01,Alabama,63.1,Average Temperature,1909-04-01,4,1909,AL
1909-05-01,Alabama,69.0,Average Temperature,1909-05-01,5,1909,AL
1909-06-01,Alabama,78.2,Average Temperature,1909-06-01,6,1909,AL
1909-07-01,Alabama,80.4,Average Temperature,1909-07-01,7,1909,AL
1909-08-01,Alabama,81.0,Average Temperature,1909-08-01,8,1909,AL
1909-09-01,Alabama,75.3,Average Temperature,1909-09-01,9,1909,AL
1909-10-01,Alabama,63.2,Average Temperature,1909-10-01,10,1909,AL
1909-11-01,Alabama,59.5,Average Temperature,1909-11-01,11,1909,AL
1909-12-01,Alabama,40.8,Average Temperature,1909-12-01,12,1909,AL
1910-01-01,Alabama,45.3,Average Temperature,1910-01-01,1,1910,AL
1910-02-01,Alabama,44.9,Average Temperature,1910-02-01,2,1910,AL
1910-03-01,Alabama,60.6,Average Temperature,1910-03-01,3,1910,AL
1910-04-01,Alabama,61.7,Average Temperature,1910-04-01,4,1910,AL
1910-05-01,Alabama,69.0,Average Temperature,1910-05-01,5,1910,AL
1910-06-01,Alabama,75.5,Average Temperature,1910-06-01,6,1910,AL
1910-07-01,Alabama,78.8,Average Temperature,1910-07-01,7,1910,AL
1910-08-01,Alabama,79.6,Average Temperature,1910-08-01,8,1910,AL
1910-09-01,Alabama,77.4,Average Temperature,1910-09-01,9,1910,AL
1910-10-01,Alabama,66.4,Average Temperature,1910-10-01,10,1910,AL
1910-11-01,Alabama,50.9,Average Temperature,1910-11-01,11,1910,AL
1910-12-01,Alabama,41.9,Average Temperature,1910-12-01,12,1910,AL
1911-01-01,Alabama,49.9,Average Temperature,1911-01-01,1,1911,AL
1911-02-01,Alabama,54.2,Average Temperature,1911-02-01,2,1911,AL
1911-03-01,Alabama,57.7,Average Temperature,1911-03-01,3,1911,AL
1911-04-01,Alabama,63.5,Average Temperature,1911-04-01,4,1911,AL
1911-05-01,Alabama,72.7,Average Temperature,1911-05-01,5,1911,AL
1911-06-01,Alabama,80.7,Average Temperature,1911-06-01,6,1911,AL
1911-07-01,Alabama,78.1,Average Temperature,1911-07-01,7,1911,AL
1911-08-01,Alabama,79.0,Average Temperature,1911-08-01,8,1911,AL
1911-09-01,Alabama,80.2,Average Temperature,1911-09-01,9,1911,AL
1911-10-01,Alabama,68.5,Average Temperature,1911-10-01,10,1911,AL
1911-11-01,Alabama,50.1,Average Temperature,1911-11-01,11,1911,AL
1911-12-01,Alabama,49.3,Average Temperature,1911-12-01,12,1911,AL
1912-01-01,Alabama,40.2,Average Temperature,1912-01-01,1,1912,AL
1912-02-01,Alabama,42.7,Average Temperature,1912-02-01,2,1912,AL
1912-03-01,Alabama,52.3,Average Temperature,1912-03-01,3,1912,AL
1912-04-01,Alabama,64.4,Average Temperature,1912-04-01,4,1912,AL
1912-05-01,Alabama,72.0,Average Temperature,1912-05-01,5,1912,AL
1912-06-01,Alabama,75.1,Average Temperature,1912-06-01,6,1912,AL
1912-07-01,Alabama,79.7,Average Temperature,1912-07-01,7,1912,AL
1912-08-01,Alabama,79.1,Average Temperature,1912-08-01,8,1912,AL
1912-09-01,Alabama,76.9,Average Temperature,1912-09-01,9,1912,AL
1912-10-01,Alabama,65.9,Average Temperature,1912-10-01,10,1912,AL
1912-11-01,Alabama,50.2,Average Temperature,1912-11-01,11,1912,AL
1912-12-01,Alabama,46.9,Average Temperature,1912-12-01,12,1912,AL
1913-01-01,Alabama,51.2,Average Temperature,1913-01-01,1,1913,AL
1913-02-01,Alabama,46.8,Average Temperature,1913-02-01,2,1913,AL
1913-03-01,Alabama,55.0,Average Temperature,1913-03-01,3,1913,AL
1913-04-01,Alabama,62.0,Average Temperature,1913-04-01,4,1913,AL
1913-05-01,Alabama,71.4,Average Temperature,1913-05-01,5,1913,AL
1913-06-01,Alabama,77.8,Average Temperature,1913-06-01,6,1913,AL
1913-07-01,Alabama,81.3,Average Temperature,1913-07-01,7,1913,AL
1913-08-01,Alabama,80.6,Average Temperature,1913-08-01,8,1913,AL
1913-09-01,Alabama,73.2,Average Temperature,1913-09-01,9,1913,AL
1913-10-01,Alabama,60.8,Average Temperature,1913-10-01,10,1913,AL
1913-11-01,Alabama,55.8,Average Temperature,1913-11-01,11,1913,AL
1913-12-01,Alabama,47.4,Average Temperature,1913-12-01,12,1913,AL
1914-01-01,Alabama,47.0,Average Temperature,1914-01-01,1,1914,AL
1914-02-01,Alabama,45.4,Average Temperature,1914-02-01,2,1914,AL
1914-03-01,Alabama,50.0,Average Temperature,1914-03-01,3,1914,AL
1914-04-01,Alabama,63.8,Average Temperature,1914-04-01,4,1914,AL
1914-05-01,Alabama,71.6,Average Temperature,1914-05-01,5,1914,AL
1914-06-01,Alabama,83.1,Average Temperature,1914-06-01,6,1914,AL
1914-07-01,Alabama,81.8,Average Temperature,1914-07-01,7,1914,AL
1914-08-01,Alabama,79.2,Average Temperature,1914-08-01,8,1914,AL
1914-09-01,Alabama,73.2,Average Temperature,1914-09-01,9,1914,AL
1914-10-01,Alabama,63.8,Average Temperature,1914-10-01,10,1914,AL
1914-11-01,Alabama,52.3,Average Temperature,1914-11-01,11,1914,AL
1914-12-01,Alabama,42.8,Average Temperature,1914-12-01,12,1914,AL
1915-01-01,Alabama,42.5,Average Temperature,1915-01-01,1,1915,AL
1915-02-01,Alabama,47.8,Average Temperature,1915-02-01,2,1915,AL
1915-03-01,Alabama,46.4,Average Temperature,1915-03-01,3,1915,AL
1915-04-01,Alabama,64.3,Average Temperature,1915-04-01,4,1915,AL
1915-05-01,Alabama,74.3,Average Temperature,1915-05-01,5,1915,AL
1915-06-01,Alabama,78.5,Average Temperature,1915-06-01,6,1915,AL
1915-07-01,Alabama,80.4,Average Temperature,1915-07-01,7,1915,AL
1915-08-01,Alabama,79.1,Average Temperature,1915-08-01,8,1915,AL
1915-09-01,Alabama,76.4,Average Temperature,1915-09-01,9,1915,AL
1915-10-01,Alabama,66.3,Average Temperature,1915-10-01,10,1915,AL
1915-11-01,Alabama,56.3,Average Temperature,1915-11-01,11,1915,AL
1915-12-01,Alabama,46.1,Average Temperature,1915-12-01,12,1915,AL
1916-01-01,Alabama,51.8,Average Temperature,1916-01-01,1,1916,AL
1916-02-01,Alabama,46.8,Average Temperature,1916-02-01,2,1916,AL
1916-03-01,Alabama,53.8,Average Temperature,1916-03-01,3,1916,AL
1916-04-01,Alabama,61.8,Average Temperature,1916-04-01,4,1916,AL
1916-05-01,Alabama,73.0,Average Temperature,1916-05-01,5,1916,AL
1916-06-01,Alabama,77.1,Average Temperature,1916-06-01,6,1916,AL
1916-07-01,Alabama,78.6,Average Temperature,1916-07-01,7,1916,AL
1916-08-01,Alabama,79.8,Average Temperature,1916-08-01,8,1916,AL
1916-09-01,Alabama,73.6,Average Temperature,1916-09-01,9,1916,AL
1916-10-01,Alabama,64.2,Average Temperature,1916-10-01,10,1916,AL
1916-11-01,Alabama,54.0,Average Temperature,1916-11-01,11,1916,AL
1916-12-01,Alabama,46.8,Average Temperature,1916-12-01,12,1916,AL
1917-01-01,Alabama,49.7,Average Temperature,1917-01-01,1,1917,AL
1917-02-01,Alabama,48.4,Average Temperature,1917-02-01,2,1917,AL
1917-03-01,Alabama,56.4,Average Temperature,1917-03-01,3,1917,AL
1917-04-01,Alabama,63.6,Average Temperature,1917-04-01,4,1917,AL
1917-05-01,Alabama,66.0,Average Temperature,1917-05-01,5,1917,AL
1917-06-01,Alabama,77.8,Average Temperature,1917-06-01,6,1917,AL
1917-07-01,Alabama,79.8,Average Temperature,1917-07-01,7,1917,AL
1917-08-01,Alabama,78.4,Average Temperature,1917-08-01,8,1917,AL
1917-09-01,Alabama,73.2,Average Temperature,1917-09-01,9,1917,AL
1917-10-01,Alabama,58.5,Average Temperature,1917-10-01,10,1917,AL
1917-11-01,Alabama,50.6,Average Temperature,1917-11-01,11,1917,AL
1917-12-01,Alabama,39.8,Average Temperature,1917-12-01,12,1917,AL
1918-01-01,Alabama,37.4,Average Temperature,1918-01-01,1,1918,AL
1918-02-01,Alabama,53.2,Average Temperature,1918-02-01,2,1918,AL
1918-03-01,Alabama,61.8,Average Temperature,1918-03-01,3,1918,AL
1918-04-01,Alabama,60.9,Average Temperature,1918-04-01,4,1918,AL
1918-05-01,Alabama,72.6,Average Temperature,1918-05-01,5,1918,AL
1918-06-01,Alabama,79.6,Average Temperature,1918-06-01,6,1918,AL
1918-07-01,Alabama,78.2,Average Temperature,1918-07-01,7,1918,AL
1918-08-01,Alabama,80.3,Average Temperature,1918-08-01,8,1918,AL
1918-09-01,Alabama,70.4,Average Temperature,1918-09-01,9,1918,AL
1918-10-01,Alabama,68.6,Average Temperature,1918-10-01,10,1918,AL
1918-11-01,Alabama,52.6,Average Temperature,1918-11-01,11,1918,AL
1918-12-01,Alabama,49.8,Average Temperature,1918-12-01,12,1918,AL
1919-01-01,Alabama,44.0,Average Temperature,1919-01-01,1,1919,AL
1919-02-01,Alabama,47.5,Average Temperature,1919-02-01,2,1919,AL
1919-03-01,Alabama,56.1,Average Temperature,1919-03-01,3,1919,AL
1919-04-01,Alabama,62.3,Average Temperature,1919-04-01,4,1919,AL
1919-05-01,Alabama,69.0,Average Temperature,1919-05-01,5,1919,AL
1919-06-01,Alabama,78.2,Average Temperature,1919-06-01,6,1919,AL
1919-07-01,Alabama,79.7,Average Temperature,1919-07-01,7,1919,AL
1919-08-01,Alabama,79.2,Average Temperature,1919-08-01,8,1919,AL
1919-09-01,Alabama,75.1,Average Temperature,1919-09-01,9,1919,AL
1919-10-01,Alabama,74.0,Average Temperature,1919-10-01,10,1919,AL
1919-11-01,Alabama,57.0,Average Temperature,1919-11-01,11,1919,AL
1919-12-01,Alabama,47.0,Average Temperature,1919-12-01,12,1919,AL
1920-01-01,Alabama,46.9,Average Temperature,1920-01-01,1,1920,AL
1920-02-01,Alabama,46.2,Average Temperature,1920-02-01,2,1920,AL
1920-03-01,Alabama,52.1,Average Temperature,1920-03-01,3,1920,AL
1920-04-01,Alabama,62.2,Average Temperature,1920-04-01,4,1920,AL
1920-05-01,Alabama,70.4,Average Temperature,1920-05-01,5,1920,AL
1920-06-01,Alabama,76.9,Average Temperature,1920-06-01,6,1920,AL
1920-07-01,Alabama,79.4,Average Temperature,1920-07-01,7,1920,AL
1920-08-01,Alabama,77.6,Average Temperature,1920-08-01,8,1920,AL
1920-09-01,Alabama,76.8,Average Temperature,1920-09-01,9,1920,AL
1920-10-01,Alabama,63.8,Average Temperature,1920-10-01,10,1920,AL
1920-11-01,Alabama,50.6,Average Temperature,1920-11-01,11,1920,AL
1920-12-01,Alabama,44.7,Average Temperature,1920-12-01,12,1920,AL
1921-01-01,Alabama,49.3,Average Temperature,1921-01-01,1,1921,AL
1921-02-01,Alabama,50.3,Average Temperature,1921-02-01,2,1921,AL
1921-03-01,Alabama,63.4,Average Temperature,1921-03-01,3,1921,AL
1921-04-01,Alabama,61.8,Average Temperature,1921-04-01,4,1921,AL
1921-05-01,Alabama,69.9,Average Temperature,1921-05-01,5,1921,AL
1921-06-01,Alabama,80.5,Average Temperature,1921-06-01,6,1921,AL
1921-07-01,Alabama,81.4,Average Temperature,1921-07-01,7,1921,AL
1921-08-01,Alabama,80.4,Average Temperature,1921-08-01,8,1921,AL
1921-09-01,Alabama,80.9,Average Temperature,1921-09-01,9,1921,AL
1921-10-01,Alabama,62.4,Average Temperature,1921-10-01,10,1921,AL
1921-11-01,Alabama,57.6,Average Temperature,1921-11-01,11,1921,AL
1921-12-01,Alabama,50.6,Average Temperature,1921-12-01,12,1921,AL
1922-01-01,Alabama,46.4,Average Temperature,1922-01-01,1,1922,AL
1922-02-01,Alabama,53.8,Average Temperature,1922-02-01,2,1922,AL
1922-03-01,Alabama,55.4,Average Temperature,1922-03-01,3,1922,AL
1922-04-01,Alabama,66.3,Average Temperature,1922-04-01,4,1922,AL
1922-05-01,Alabama,71.6,Average Temperature,1922-05-01,5,1922,AL
1922-06-01,Alabama,78.5,Average Temperature,1922-06-01,6,1922,AL
1922-07-01,Alabama,79.8,Average Temperature,1922-07-01,7,1922,AL
1922-08-01,Alabama,78.8,Average Temperature,1922-08-01,8,1922,AL
1922-09-01,Alabama,77.0,Average Temperature,1922-09-01,9,1922,AL
1922-10-01,Alabama,64.6,Average Temperature,1922-10-01,10,1922,AL
1922-11-01,Alabama,56.5,Average Temperature,1922-11-01,11,1922,AL
1922-12-01,Alabama,53.3,Average Temperature,1922-12-01,12,1922,AL
1923-01-01,Alabama,50.9,Average Temperature,1923-01-01,1,1923,AL
1923-02-01,Alabama,46.8,Average Temperature,1923-02-01,2,1923,AL
1923-03-01,Alabama,54.2,Average Temperature,1923-03-01,3,1923,AL
1923-04-01,Alabama,62.8,Average Temperature,1923-04-01,4,1923,AL
1923-05-01,Alabama,69.1,Average Temperature,1923-05-01,5,1923,AL
1923-06-01,Alabama,76.6,Average Temperature,1923-06-01,6,1923,AL
1923-07-01,Alabama,78.5,Average Temperature,1923-07-01,7,1923,AL
1923-08-01,Alabama,78.7,Average Temperature,1923-08-01,8,1923,AL
1923-09-01,Alabama,75.8,Average Temperature,1923-09-01,9,1923,AL
1923-10-01,Alabama,63.0,Average Temperature,1923-10-01,10,1923,AL
1923-11-01,Alabama,51.1,Average Temperature,1923-11-01,11,1923,AL
1923-12-01,Alabama,53.5,Average Temperature,1923-12-01,12,1923,AL
1924-01-01,Alabama,40.6,Average Temperature,1924-01-01,1,1924,AL
1924-02-01,Alabama,46.5,Average Temperature,1924-02-01,2,1924,AL
1924-03-01,Alabama,50.4,Average Temperature,1924-03-01,3,1924,AL
1924-04-01,Alabama,62.6,Average Temperature,1924-04-01,4,1924,AL
1924-05-01,Alabama,67.3,Average Temperature,1924-05-01,5,1924,AL
1924-06-01,Alabama,79.5,Average Temperature,1924-06-01,6,1924,AL
1924-07-01,Alabama,79.7,Average Temperature,1924-07-01,7,1924,AL
1924-08-01,Alabama,81.5,Average Temperature,1924-08-01,8,1924,AL
1924-09-01,Alabama,72.4,Average Temperature,1924-09-01,9,1924,AL
1924-10-01,Alabama,64.0,Average Temperature,1924-10-01,10,1924,AL
1924-11-01,Alabama,55.1,Average Temperature,1924-11-01,11,1924,AL
1924-12-01,Alabama,47.4,Average Temperature,1924-12-01,12,1924,AL
1925-01-01,Alabama,47.1,Average Temperature,1925-01-01,1,1925,AL
1925-02-01,Alabama,52.2,Average Temperature,1925-02-01,2,1925,AL
1925-03-01,Alabama,57.2,Average Temperature,1925-03-01,3,1925,AL
1925-04-01,Alabama,67.3,Average Temperature,1925-04-01,4,1925,AL
1925-05-01,Alabama,69.4,Average Temperature,1925-05-01,5,1925,AL
1925-06-01,Alabama,80.6,Average Temperature,1925-06-01,6,1925,AL
1925-07-01,Alabama,81.6,Average Temperature,1925-07-01,7,1925,AL
